r,g,b,a
0.858823529412,0.0941176470588,0.886274509804,1.0
0.839215686275,0.0901960784314,0.890196078431,1.0
0.819607843137,0.0862745098039,0.894117647059,1.0
0.8,0.0823529411765,0.898039215686,1.0
0.780392156863,0.078431372549,0.901960784314,1.0
0.760784313725,0.0745098039216,0.905882352941,1.0
0.741176470588,0.0705882352941,0.909803921569,1.0
0.721568627451,0.0666666666667,0.913725490196,1.0
0.701960784314,0.0627450980392,0.917647058824,1.0
0.682352941176,0.0588235294118,0.921568627451,1.0
0.662745098039,0.0549019607843,0.925490196078,1.0
0.643137254902,0.0509803921569,0.929411764706,1.0
0.623529411765,0.0470588235294,0.933333333333,1.0
0.603921568627,0.043137254902,0.937254901961,1.0
0.58431372549,0.0392156862745,0.941176470588,1.0
0.564705882353,0.0352941176471,0.945098039216,1.0
0.545098039216,0.0313725490196,0.949019607843,1.0
0.525490196078,0.0274509803922,0.952941176471,1.0
0.505882352941,0.0235294117647,0.956862745098,1.0
0.486274509804,0.0196078431373,0.960784313725,1.0
0.466666666667,0.0156862745098,0.964705882353,1.0
0.447058823529,0.0117647058824,0.96862745098,1.0
0.427450980392,0.0078431372549,0.972549019608,1.0
0.407843137255,0.00392156862745,0.976470588235,1.0
0.388235294118,0.0,0.980392156863,1.0
0.36862745098,0.0,0.98431372549,1.0
0.349019607843,0.0,0.988235294118,1.0
0.329411764706,0.0,0.992156862745,1.0
0.309803921569,0.0,0.996078431373,1.0
0.290196078431,0.0,1.0,1.0
0.270588235294,0.0,1.0,1.0
0.250980392157,0.0,1.0,1.0
0.23137254902,0.0,1.0,1.0
0.211764705882,0.0,1.0,1.0
0.192156862745,0.0,1.0,1.0
0.172549019608,0.0,1.0,1.0
0.152941176471,0.0,1.0,1.0
0.133333333333,0.0,1.0,1.0
0.0941176470588,0.0,0.980392156863,1.0
0.0901960784314,0.0,0.960784313725,1.0
0.0862745098039,0.0,0.941176470588,1.0
0.0823529411765,0.0,0.921568627451,1.0
0.078431372549,0.0,0.901960784314,1.0
0.0745098039216,0.0,0.882352941176,1.0
0.0705882352941,0.0,0.866666666667,1.0
0.0666666666667,0.0,0.847058823529,1.0
0.0627450980392,0.0,0.827450980392,1.0
0.0588235294118,0.0,0.807843137255,1.0
0.0549019607843,0.0,0.788235294118,1.0
0.0509803921569,0.0,0.76862745098,1.0
0.0470588235294,0.0,0.752941176471,1.0
0.043137254902,0.0,0.733333333333,1.0
0.0392156862745,0.0,0.713725490196,1.0
0.0392156862745,0.0,0.694117647059,1.0
0.0352941176471,0.0,0.674509803922,1.0
0.0313725490196,0.0,0.654901960784,1.0
0.0274509803922,0.0,0.639215686275,1.0
0.0274509803922,0.0,0.619607843137,1.0
0.0235294117647,0.0,0.6,1.0
0.0196078431373,0.0,0.580392156863,1.0
0.0196078431373,0.0,0.560784313725,1.0
0.0156862745098,0.0,0.541176470588,1.0
0.0156862745098,0.0,0.525490196078,1.0
0.0117647058824,0.0,0.505882352941,1.0
0.0117647058824,0.0,0.486274509804,1.0
0.0078431372549,0.0,0.466666666667,1.0
0.0078431372549,0.0,0.447058823529,1.0
0.00392156862745,0.0,0.427450980392,1.0
0.00392156862745,0.0,0.411764705882,1.0
